Abbreviation,Latin,Français
a.,Activus,actif
abl.,Ablativus,ablatif
Adv.,Adverbium,adverbe
anom.,Anomalus,"anomal, irrégulier"
c. à d.,C’est-à-dire,
Cf.,Confer,comparez
gen. com.,Generis Communis,adjectif de deux genres
dat.,Dativus,datif
d.,Deponens,verbe déponent
d. a.,Deponens Activum,déponent actif
d. n.,Deponens Neutrum,déponent neutre
Epith.,Epitheton,Épithète
f.,Femininus,féminin
Fig.,Fig.,au figuré
g.,Genus,genre
gen.,Genitivus,génitif
imp.,Impersonalis,impersonnel
indecl.,Indéclinable,
ind.,Indicativus,indicatif
m.,Masculinus,genre masculin
m. à m.,Mot-à-mot,
n.,Neuter,genre neutre
nom.,Nominativus,nominatif
omn. gen.,Omnis generis,adjectif qui marque la même désinence au nominatif à tous les genres
p.,Passivus,passif
part.,Participium,participe
Phras.,Phrasis,phrase à développer
pl.,Pluralis,pluriel
poet.,Poetice,d’une manière poétique
pr.,Au propre,
præt.,Præteritum,parfait
q.,Quasi,
q. d.,Quod dicitur,
Rad.,Radix,racine
Remp.,Rempublicam,
Rep.,Republica,
Resp.,Respublica,
Rom.,"Romani, Romanorum",
sc.,Scilicet.,
Signif.,Significatio,différentes acceptions d’un mot
Sing.,Singularis,singulier
subaud.,Subauditum,sous-entendu
Syn.,Synonima,synonymes
t.,Terme,
Transl.,Translatio,au figuré
Usus:,Emploi fait par les auteurs latins du mot dont il s’agit,
v.,Verbum,verbe
Vulg.,Vulgare est,expression vulgaire
)(,Contraria,indique les contraires
*,Vox non Ciceroniana,"mot absent de Cicéron (Tite-Live, César ou Salluste)"
( ),Expressio vulgaris,la parenthèse renferme les expressions vulgaires
